log,summary
ERROR job=session-cleanup host=node-05 elapsed_s=137 exit=1 last_step=openChannel,The session-cleanup scheduled job failed on node-05: it exited 1 after 137s while running openChannel.
"[CRIT] database unreachable from session-store: handleRequest got error 2002 (connection refused, port 5432)",session-store failed to reach the database: handleRequest received a connection-refused error (code 2002) on port 5432 after 5134ms.
Client exceeded 120 requests per minute on /api/v1/reports; inventory-sync is responding 429 with retry-after 5s.,Rate limiting kicked in on /api/v1/reports — over 120/min — and inventory-sync now answers 429 with retry-after 5s.
"[CRIT] backup-agent deployment stalled: image tag v2.14.7 could not be pulled, registry answered 502",Deploying backup-agent failed because image tag v2.14.7 could not be pulled; the registry responded with 502 and the pull is backing off.
TLS handshake with inventory-sync failed: certificate expired 44 days ago. runMigration aborted the connection.,"The TLS certificate presented by inventory-sync lapsed 44 days ago, so the handshake in runMigration was aborted."
"[ALERT] throttling active on /api/v1/checkout: backup-agent rejecting excess traffic with 429 (limit 300/min, retry after 15s)",Rate limiting kicked in on /api/v1/checkout — over 300/min — and backup-agent now answers 429 with retry-after 15s.
ERROR service=report-builder fn=buildIndex db_port=9042 code=2002 msg=connection refused elapsed_ms=1468,A database connection failure hit report-builder; error 2002 in buildIndex indicates the server on port 9042 refused the connection.
Access denied for role readonly when session-store executed openChannel against table products. Error 1044.,"session-store was denied access to table products: role readonly lacks the required grant, producing error 1044 in openChannel."
ERROR service=notify-hub host=worker-b mount=/srv/uploads used_pct=98 fn=acquireLock msg=no space left on device,"worker-b ran out of disk on /srv/uploads (98% used), breaking notify-hub's acquireLock."
Failed to pull image for auth-gateway: registry returned 503 while fetching tag v7.11.1. Retrying with backoff.,Deploying auth-gateway failed because image tag v7.11.1 could not be pulled; the registry responded with 503 and the pull is backing off.
Client exceeded 120 requests per minute on /api/v1/search; media-encoder is responding 429 with retry-after 5s.,Traffic to /api/v1/search passed 120 requests per minute and media-encoder began returning 429 (retry after 5s).
Message on reports.nightly was redelivered 15 times and moved to the dead-letter queue. Consumer cart-service raised TimeoutError in runMigration.,"After 15 failed deliveries to cart-service (TimeoutError), the reports.nightly message landed in the dead-letter queue."
[ALERT] cart-service: 46 consecutive 500 responses from auth-gateway on /api/v1/uploads; breaker opened,"The auth-gateway upstream is failing /api/v1/uploads with 500, so cart-service stopped sending traffic (breaker open)."
geo-resolver could not connect to the database on port 6379. Error 111 in buildIndex: connection refused after 4476ms.,"The database on port 6379 refused geo-resolver's connection attempt in buildIndex, failing with code 111."
[CRIT] lock wait on sessions: backup-agent transaction in handleRequest aborted after 1000ms,A statement from backup-agent against sessions ran past the 1000ms timeout and was cancelled in handleRequest.
ERROR service=geo-resolver host=worker-c mount=/srv/uploads used_pct=98 fn=syncReplica msg=no space left on device,"Volume /srv/uploads on worker-c filled to 98%, so geo-resolver can no longer write (syncReplica failed)."
Upstream notify-hub returned 503 for /api/v1/search after 9211ms. Circuit breaker in notify-hub is now open.,Repeated 503 errors from notify-hub on /api/v1/search tripped notify-hub's circuit breaker.
"[CRIT] throttling active on /api/v1/uploads: session-store rejecting excess traffic with 429 (limit 60/min, retry after 30s)","session-store is throttling /api/v1/uploads: the 60-per-minute limit was exceeded, so callers get 429 with a 30s retry-after."
ERROR service=order-api upstream=email-dispatcher endpoint=/api/v1/search code=503 elapsed_ms=5640 breaker=open,Repeated 503 errors from email-dispatcher on /api/v1/search tripped order-api's circuit breaker.
WARN service=payment-worker table=orders elapsed_ms=3000 fn=fetchUpstream msg=statement timeout,A statement from payment-worker against orders ran past the 3000ms timeout and was cancelled in fetchUpstream.
[ERROR] report-builder: 47 consecutive 500 responses from geo-resolver on /api/v1/search; breaker opened,report-builder opened its circuit breaker after geo-resolver answered /api/v1/search with 500 (latest attempt took 9423ms).
FATAL service=auth-gateway fn=openChannel missing_env=MAX_WORKERS exit=1,Startup of auth-gateway aborted in openChannel — the required MAX_WORKERS setting was never provided.
"[CRIT] database unreachable from report-builder: fetchUpstream got error 111 (connection refused, port 6379)",A database connection failure hit report-builder; error 111 in fetchUpstream indicates the server on port 6379 refused the connection.
Failed to pull image for backup-agent: registry returned 403 while fetching tag v9.10.1. Retrying with backoff.,Registry error 403 blocked backup-agent from pulling image tag v9.10.1.
WARN service=feed-aggregator endpoint=/api/v1/orders limit_per_min=600 code=429 retry_after_s=60,Rate limiting kicked in on /api/v1/orders — over 600/min — and feed-aggregator now answers 429 with retry-after 60s.
feed-aggregator could not connect to the database on port 9042. Error 2002 in resolveHost: connection refused after 8463ms.,"The database on port 9042 refused feed-aggregator's connection attempt in resolveHost, failing with code 2002."
WARN service=catalog-api endpoint=/api/v1/reports limit_per_min=60 code=429 retry_after_s=30,Traffic to /api/v1/reports passed 60 requests per minute and catalog-api began returning 429 (retry after 30s).
session-store exited during startup: required environment variable API_BASE_URL is not set. fetchUpstream aborted with status 1.,Startup of session-store aborted in fetchUpstream — the required API_BASE_URL setting was never provided.
No space left on device: backup-agent on node-03 failed to write during resolveHost. Volume /var/log is at 98% capacity.,Writes from backup-agent on node-03 are failing because volume /var/log is 98% full — resolveHost hit 'no space left on device'.
[CRIT] payment-worker: 20 consecutive 500 responses from auth-gateway on /api/v1/sessions; breaker opened,"The auth-gateway upstream is failing /api/v1/sessions with 500, so payment-worker stopped sending traffic (breaker open)."
Name resolution failed for upstream report-builder: timeout. ledger-service cannot reach it from node-07.,ledger-service on node-07 cannot resolve its upstream report-builder — DNS returned timeout.
media-encoder could not connect to the database on port 5432. Error 61 in runMigration: connection refused after 1964ms.,A database connection failure hit media-encoder; error 61 in runMigration indicates the server on port 5432 refused the connection.
"[ERROR] startup failure in session-store: CACHE_HOST unset, handleRequest cannot continue",A missing CACHE_HOST value stopped session-store from booting (handleRequest exited 1).
"[ALERT] session-store deployment stalled: image tag v5.13.5 could not be pulled, registry answered 503",Registry error 503 blocked session-store from pulling image tag v5.13.5.
[CRIT] thumbnail-worker on worker-a: lookup of search-indexer returned timeout,"DNS resolution of search-indexer failed with timeout, leaving thumbnail-worker on worker-a unable to connect."
Request to /api/v1/sessions rejected with 403: the session token presented to report-builder expired 19 minutes ago.,The /api/v1/sessions call failed with 403: report-builder saw credentials that lapsed 19 minutes ago.
[CRIT] payment-worker on node-02: lookup of cart-service returned timeout,payment-worker on node-02 cannot resolve its upstream cart-service — DNS returned timeout.
ERROR job=index-rebuild host=worker-b elapsed_s=1076 exit=1 last_step=flushBuffer,"On worker-b, the index-rebuild job died in step flushBuffer after 1076s (exit 1)."
[ALERT] media-encoder: 403 on /api/v1/reports — expired credentials (716m past validity),media-encoder returned 403 for /api/v1/reports because the caller's token expired 716 minutes earlier.
WARN service=inventory-sync endpoint=/api/v1/reports limit_per_min=600 code=429 retry_after_s=15,Rate limiting kicked in on /api/v1/reports — over 600/min — and inventory-sync now answers 429 with retry-after 15s.
[CRIT] consumer lag on emails.outbound: inventory-sync is 7 messages behind; oldest message failed with JSONDecodeError,A message on emails.outbound exhausted 7 redeliveries and was dead-lettered after inventory-sync kept failing with JSONDecodeError in startContainer.
No space left on device: media-encoder on node-10 failed to write during renewLease. Volume /var/lib/data is at 96% capacity.,Writes from media-encoder on node-10 are failing because volume /var/lib/data is 96% full — renewLease hit 'no space left on device'.
Request to /api/v1/reports rejected with 403: the session token presented to media-encoder expired 704 minutes ago.,The /api/v1/reports call failed with 403: media-encoder saw credentials that lapsed 704 minutes ago.
ERROR service=notify-hub host=worker-f upstream=webhook-relay dns=SERVFAIL,"The webhook-relay hostname would not resolve (SERVFAIL), blocking notify-hub on worker-f."
WARN service=order-api endpoint=/api/v1/orders limit_per_min=600 code=429 retry_after_s=15,"order-api is throttling /api/v1/orders: the 600-per-minute limit was exceeded, so callers get 429 with a 15s retry-after."
[ERROR] consumer lag on orders.created: email-dispatcher is 9 messages behind; oldest message failed with ValidationError,A message on orders.created exhausted 9 redeliveries and was dead-lettered after email-dispatcher kept failing with ValidationError in decodePayload.
[ALERT] backup-agent: permission denied for app_writer on orders during startContainer (error 1044),Error 1044 in startContainer: the app_writer role used by backup-agent has no access to orders.
Scheduled job index-rebuild failed after 1749s with exit status 1. Last step was buildIndex on worker-c.,"index-rebuild aborted with exit status 1 on worker-c; the failure happened 1749s in, during buildIndex."
[ERROR] node-11: volume /tmp at 98%; writes from payment-worker are failing in resolveHost,"Volume /tmp on node-11 filled to 98%, so payment-worker can no longer write (resolveHost failed)."
"[ERROR] container runtime killed ledger-service on worker-a: memory limit 2048Mi reached inside acquireLock, exit code 137",ledger-service on worker-a ran out of memory: acquireLock crossed the 2048Mi limit and the container exited with code 137.
"[CRIT] database unreachable from thumbnail-worker: startContainer got error 111 (connection refused, port 5432)",thumbnail-worker failed to reach the database: startContainer received a connection-refused error (code 111) on port 5432 after 4182ms.
WARN service=session-store endpoint=/api/v1/uploads limit_per_min=120 code=429 retry_after_s=60,Traffic to /api/v1/uploads passed 120 requests per minute and session-store began returning 429 (retry after 60s).
Client exceeded 120 requests per minute on /api/v1/orders; report-builder is responding 429 with retry-after 15s.,Traffic to /api/v1/orders passed 120 requests per minute and report-builder began returning 429 (retry after 15s).
WARN service=report-builder endpoint=/api/v1/sessions limit_per_min=60 code=429 retry_after_s=60,Rate limiting kicked in on /api/v1/sessions — over 60/min — and report-builder now answers 429 with retry-after 60s.
Name resolution failed for upstream session-store: NXDOMAIN. thumbnail-worker cannot reach it from node-11.,"The session-store hostname would not resolve (NXDOMAIN), blocking thumbnail-worker on node-11."
order-api exited during startup: required environment variable TLS_CERT_PATH is not set. resolveHost aborted with status 1.,Startup of order-api aborted in resolveHost — the required TLS_CERT_PATH setting was never provided.
[ALERT] node-11: volume /var/lib/data at 97%; writes from media-encoder are failing in decodePayload,Writes from media-encoder on node-11 are failing because volume /var/lib/data is 97% full — decodePayload hit 'no space left on device'.
"[CRIT] index-rebuild did not complete: exit 1 after 2659s (step decodePayload, node-12)","On node-12, the index-rebuild job died in step decodePayload after 2659s (exit 1)."
Request to /api/v1/search rejected with 403: the session token presented to auth-gateway expired 587 minutes ago.,An expired token (587 minutes past validity) caused auth-gateway to reject /api/v1/search with 403.
TLS handshake with feed-aggregator failed: certificate expired 12 days ago. runMigration aborted the connection.,Connections to feed-aggregator are failing because its TLS certificate expired 12 days ago; runMigration rejects the handshake.
[ALERT] certificate for webhook-relay is no longer valid (expired 71d); handshake rejected in decodePayload,Connections to webhook-relay are failing because its TLS certificate expired 71 days ago; decodePayload rejects the handshake.
[ERROR] geo-resolver: permission denied for batch_runner on events during connectDb (error 1045),"geo-resolver was denied access to table events: role batch_runner lacks the required grant, producing error 1045 in connectDb."
ERROR service=feed-aggregator host=worker-a mount=/tmp used_pct=99 fn=acquireLock msg=no space left on device,"worker-a ran out of disk on /tmp (99% used), breaking feed-aggregator's acquireLock."
"[ERROR] startup failure in inventory-sync: CACHE_HOST unset, renewLease cannot continue",inventory-sync failed to start because the CACHE_HOST environment variable is missing; renewLease exited with status 1.
"[ALERT] container runtime killed report-builder on node-04: memory limit 256Mi reached inside acquireLock, exit code 137",report-builder on node-04 ran out of memory: acquireLock crossed the 256Mi limit and the container exited with code 137.
"[ALERT] metrics-flush did not complete: exit 1 after 2224s (step resolveHost, node-09)",The metrics-flush scheduled job failed on node-09: it exited 1 after 2224s while running resolveHost.
"[ERROR] startup failure in inventory-sync: API_BASE_URL unset, startContainer cannot continue",inventory-sync failed to start because the API_BASE_URL environment variable is missing; startContainer exited with status 1.
WARN service=order-api queue=emails.outbound redeliveries=11 action=dead_letter error=JSONDecodeError,order-api could not process a emails.outbound message — JSONDecodeError in openChannel across 11 attempts sent it to the dead-letter queue.
Message on webhooks.delivery was redelivered 3 times and moved to the dead-letter queue. Consumer order-api raised TimeoutError in renewLease.,"After 3 failed deliveries to order-api (TimeoutError), the webhooks.delivery message landed in the dead-letter queue."
"[CRIT] payment-worker deployment stalled: image tag v4.9.9 could not be pulled, registry answered 403",Registry error 403 blocked payment-worker from pulling image tag v4.9.9.
ERROR service=catalog-api fn=flushBuffer tls=handshake_failed reason=certificate_expired expired_days=74,Connections to catalog-api are failing because its TLS certificate expired 74 days ago; flushBuffer rejects the handshake.
Scheduled job metrics-flush failed after 1408s with exit status 1. Last step was buildIndex on worker-f.,"On worker-f, the metrics-flush job died in step buildIndex after 1408s (exit 1)."
"[ERROR] metrics-flush did not complete: exit 1 after 1465s (step processBatch, node-03)","On node-03, the metrics-flush job died in step processBatch after 1465s (exit 1)."
Client exceeded 120 requests per minute on /api/v1/orders; notify-hub is responding 429 with retry-after 30s.,Traffic to /api/v1/orders passed 120 requests per minute and notify-hub began returning 429 (retry after 30s).
Upstream inventory-sync returned 504 for /api/v1/reports after 20286ms. Circuit breaker in order-api is now open.,order-api opened its circuit breaker after inventory-sync answered /api/v1/reports with 504 (latest attempt took 20286ms).
"[CRIT] startup failure in auth-gateway: TLS_CERT_PATH unset, openChannel cannot continue",auth-gateway failed to start because the TLS_CERT_PATH environment variable is missing; openChannel exited with status 1.
Client exceeded 120 requests per minute on /api/v1/reports; auth-gateway is responding 429 with retry-after 15s.,Traffic to /api/v1/reports passed 120 requests per minute and auth-gateway began returning 429 (retry after 15s).
Failed to pull image for thumbnail-worker: registry returned 502 while fetching tag v3.12.5. Retrying with backoff.,"The thumbnail-worker image pull for tag v3.12.5 failed with registry error 502, leaving the deployment in backoff."
Query on payments from payment-worker exceeded 3000ms and was cancelled. Statement timed out inside processBatch.,The payments query issued by payment-worker timed out at 3000ms inside processBatch.
"[CRIT] database unreachable from payment-worker: processBatch got error 2013 (connection refused, port 5432)",A database connection failure hit payment-worker; error 2013 in processBatch indicates the server on port 5432 refused the connection.
"[ERROR] container runtime killed notify-hub on node-12: memory limit 512Mi reached inside flushBuffer, exit code 137",An out-of-memory kill terminated notify-hub on node-12 (exit 137); the flushBuffer process breached the 512Mi cap.
Container inventory-sync on worker-d terminated unexpectedly. Exit code 137. Process writeSnapshot exceeded the memory limit of 2048Mi.,An out-of-memory kill terminated inventory-sync on worker-d (exit 137); the writeSnapshot process breached the 2048Mi cap.
"[CRIT] database unreachable from catalog-api: runMigration got error 2002 (connection refused, port 6379)",A database connection failure hit catalog-api; error 2002 in runMigration indicates the server on port 6379 refused the connection.
Client exceeded 300 requests per minute on /api/v1/reports; search-indexer is responding 429 with retry-after 5s.,"search-indexer is throttling /api/v1/reports: the 300-per-minute limit was exceeded, so callers get 429 with a 5s retry-after."
ERROR service=email-dispatcher host=node-10 mount=/var/lib/data used_pct=97 fn=resolveHost msg=no space left on device,Writes from email-dispatcher on node-10 are failing because volume /var/lib/data is 97% full — resolveHost hit 'no space left on device'.
"[ERROR] startup failure in inventory-sync: LOG_LEVEL unset, fetchUpstream cannot continue",A missing LOG_LEVEL value stopped inventory-sync from booting (fetchUpstream exited 1).
ERROR service=cart-service phase=image_pull code=503 tag=v7.8.7 msg=pull backoff,Deploying cart-service failed because image tag v7.8.7 could not be pulled; the registry responded with 503 and the pull is backing off.
"[CRIT] media-encoder deployment stalled: image tag v7.5.4 could not be pulled, registry answered 503",Registry error 503 blocked media-encoder from pulling image tag v7.5.4.
Failed to pull image for session-store: registry returned 401 while fetching tag v8.19.2. Retrying with backoff.,Registry error 401 blocked session-store from pulling image tag v8.19.2.
"[ALERT] container runtime killed notify-hub on node-10: memory limit 256Mi reached inside writeSnapshot, exit code 137",notify-hub on node-10 ran out of memory: writeSnapshot crossed the 256Mi limit and the container exited with code 137.
"[ERROR] container runtime killed notify-hub on node-05: memory limit 1024Mi reached inside fetchUpstream, exit code 137",notify-hub on node-05 ran out of memory: fetchUpstream crossed the 1024Mi limit and the container exited with code 137.
Name resolution failed for upstream ledger-service: SERVFAIL. notify-hub cannot reach it from node-12.,"DNS resolution of ledger-service failed with SERVFAIL, leaving notify-hub on node-12 unable to connect."
Client exceeded 600 requests per minute on /api/v1/checkout; email-dispatcher is responding 429 with retry-after 30s.,"email-dispatcher is throttling /api/v1/checkout: the 600-per-minute limit was exceeded, so callers get 429 with a 30s retry-after."
Scheduled job invoice-rollup failed after 196s with exit status 1. Last step was renewLease on worker-a.,"invoice-rollup aborted with exit status 1 on worker-a; the failure happened 196s in, during renewLease."
Query on customers from cart-service exceeded 1000ms and was cancelled. Statement timed out inside decodePayload.,A statement from cart-service against customers ran past the 1000ms timeout and was cancelled in decodePayload.
Upstream webhook-relay returned 500 for /api/v1/orders after 11679ms. Circuit breaker in payment-worker is now open.,Repeated 500 errors from webhook-relay on /api/v1/orders tripped payment-worker's circuit breaker.
Name resolution failed for upstream session-store: SERVFAIL. inventory-sync cannot reach it from node-09.,inventory-sync on node-09 cannot resolve its upstream session-store — DNS returned SERVFAIL.
ERROR service=thumbnail-worker fn=processBatch tls=handshake_failed reason=certificate_expired expired_days=11,"The TLS certificate presented by thumbnail-worker lapsed 11 days ago, so the handshake in processBatch was aborted."
ERROR service=ledger-service host=worker-a upstream=geo-resolver dns=NXDOMAIN,"The geo-resolver hostname would not resolve (NXDOMAIN), blocking ledger-service on worker-a."
"[CRIT] container runtime killed auth-gateway on node-06: memory limit 2048Mi reached inside openChannel, exit code 137",auth-gateway on node-06 ran out of memory: openChannel crossed the 2048Mi limit and the container exited with code 137.
WARN service=payment-worker queue=orders.created redeliveries=8 action=dead_letter error=KeyError,A message on orders.created exhausted 8 redeliveries and was dead-lettered after payment-worker kept failing with KeyError in fetchUpstream.
ERROR service=media-encoder upstream=backup-agent endpoint=/api/v1/orders code=503 elapsed_ms=27158 breaker=open,media-encoder opened its circuit breaker after backup-agent answered /api/v1/orders with 503 (latest attempt took 27158ms).
ERROR service=email-dispatcher fn=acquireLock db_port=6379 code=111 msg=connection refused elapsed_ms=7944,A database connection failure hit email-dispatcher; error 111 in acquireLock indicates the server on port 6379 refused the connection.
"[ERROR] database unreachable from thumbnail-worker: buildIndex got error 2002 (connection refused, port 9042)",A database connection failure hit thumbnail-worker; error 2002 in buildIndex indicates the server on port 9042 refused the connection.
[ALERT] ledger-service: 25 consecutive 502 responses from ledger-service on /api/v1/checkout; breaker opened,"The ledger-service upstream is failing /api/v1/checkout with 502, so ledger-service stopped sending traffic (breaker open)."
ERROR service=payment-worker fn=connectDb db_port=9042 code=61 msg=connection refused elapsed_ms=4077,A database connection failure hit payment-worker; error 61 in connectDb indicates the server on port 9042 refused the connection.
[CRIT] certificate for catalog-api is no longer valid (expired 71d); handshake rejected in runMigration,"The TLS certificate presented by catalog-api lapsed 71 days ago, so the handshake in runMigration was aborted."
[ALERT] auth-gateway on node-09: lookup of cart-service returned NXDOMAIN,auth-gateway on node-09 cannot resolve its upstream cart-service — DNS returned NXDOMAIN.
Name resolution failed for upstream session-store: NXDOMAIN. backup-agent cannot reach it from worker-b.,"DNS resolution of session-store failed with NXDOMAIN, leaving backup-agent on worker-b unable to connect."
FATAL service=feed-aggregator fn=writeSnapshot missing_env=CACHE_HOST exit=1,feed-aggregator failed to start because the CACHE_HOST environment variable is missing; writeSnapshot exited with status 1.
[CRIT] lock wait on payments: thumbnail-worker transaction in flushBuffer aborted after 15000ms,thumbnail-worker's query on payments was aborted after 15000ms — the statement timeout fired during flushBuffer.
"[ALERT] startup failure in geo-resolver: TLS_CERT_PATH unset, writeSnapshot cannot continue",geo-resolver failed to start because the TLS_CERT_PATH environment variable is missing; writeSnapshot exited with status 1.
ERROR service=backup-agent phase=image_pull code=403 tag=v6.17.5 msg=pull backoff,Deploying backup-agent failed because image tag v6.17.5 could not be pulled; the registry responded with 403 and the pull is backing off.
WARN service=media-encoder endpoint=/api/v1/search code=403 reason=token_expired expired_min=89,The /api/v1/search call failed with 403: media-encoder saw credentials that lapsed 89 minutes ago.
"[ALERT] database unreachable from backup-agent: renewLease got error 61 (connection refused, port 6379)",A database connection failure hit backup-agent; error 61 in renewLease indicates the server on port 6379 refused the connection.
"[ERROR] database unreachable from auth-gateway: handleRequest got error 111 (connection refused, port 6379)","The database on port 6379 refused auth-gateway's connection attempt in handleRequest, failing with code 111."
[ALERT] node-01: volume /srv/uploads at 97%; writes from media-encoder are failing in buildIndex,"node-01 ran out of disk on /srv/uploads (97% used), breaking media-encoder's buildIndex."
ERROR service=ledger-service host=worker-d mount=/srv/uploads used_pct=100 fn=handleRequest msg=no space left on device,Writes from ledger-service on worker-d are failing because volume /srv/uploads is 100% full — handleRequest hit 'no space left on device'.
Query on orders from email-dispatcher exceeded 5000ms and was cancelled. Statement timed out inside handleRequest.,A statement from email-dispatcher against orders ran past the 5000ms timeout and was cancelled in handleRequest.
[ERROR] consumer lag on reports.nightly: feed-aggregator is 13 messages behind; oldest message failed with KeyError,A message on reports.nightly exhausted 13 redeliveries and was dead-lettered after feed-aggregator kept failing with KeyError in resolveHost.
WARN service=search-indexer queue=reports.nightly redeliveries=19 action=dead_letter error=KeyError,A message on reports.nightly exhausted 19 redeliveries and was dead-lettered after search-indexer kept failing with KeyError in handleRequest.
ERROR service=notify-hub host=node-11 oom_killed=true limit=512Mi function=acquireLock exit=137,The notify-hub container on node-11 was killed with exit code 137 after acquireLock exceeded its 512Mi memory limit.
[ERROR] thumbnail-worker: permission denied for batch_runner on customers during syncReplica (error 42501),Error 42501 in syncReplica: the batch_runner role used by thumbnail-worker has no access to customers.
[ERROR] worker-e: volume /var/lib/data at 95%; writes from email-dispatcher are failing in handleRequest,"Volume /var/lib/data on worker-e filled to 95%, so email-dispatcher can no longer write (handleRequest failed)."
ERROR service=payment-worker host=node-11 oom_killed=true limit=256Mi function=renewLease exit=137,An out-of-memory kill terminated payment-worker on node-11 (exit 137); the renewLease process breached the 256Mi cap.
ERROR service=catalog-api phase=image_pull code=401 tag=v9.13.8 msg=pull backoff,Deploying catalog-api failed because image tag v9.13.8 could not be pulled; the registry responded with 401 and the pull is backing off.
[ALERT] node-04: volume /srv/uploads at 98%; writes from webhook-relay are failing in runMigration,"node-04 ran out of disk on /srv/uploads (98% used), breaking webhook-relay's runMigration."
ERROR service=session-store fn=flushBuffer tls=handshake_failed reason=certificate_expired expired_days=61,Connections to session-store are failing because its TLS certificate expired 61 days ago; flushBuffer rejects the handshake.
ERROR service=search-indexer host=worker-f upstream=session-store dns=NXDOMAIN,"The session-store hostname would not resolve (NXDOMAIN), blocking search-indexer on worker-f."
TLS handshake with feed-aggregator failed: certificate expired 47 days ago. renewLease aborted the connection.,"feed-aggregator has an expired TLS certificate (47 days past validity), causing handshake failures in renewLease."
"[ALERT] container runtime killed webhook-relay on node-08: memory limit 1024Mi reached inside renewLease, exit code 137",An out-of-memory kill terminated webhook-relay on node-08 (exit 137); the renewLease process breached the 1024Mi cap.
Failed to pull image for geo-resolver: registry returned 502 while fetching tag v9.2.2. Retrying with backoff.,Deploying geo-resolver failed because image tag v9.2.2 could not be pulled; the registry responded with 502 and the pull is backing off.
ERROR service=backup-agent fn=flushBuffer db_port=9042 code=61 msg=connection refused elapsed_ms=745,"The database on port 9042 refused backup-agent's connection attempt in flushBuffer, failing with code 61."
ERROR service=thumbnail-worker fn=runMigration db_port=6379 code=111 msg=connection refused elapsed_ms=4759,"The database on port 6379 refused thumbnail-worker's connection attempt in runMigration, failing with code 111."
[CRIT] certificate for catalog-api is no longer valid (expired 8d); handshake rejected in runMigration,Connections to catalog-api are failing because its TLS certificate expired 8 days ago; runMigration rejects the handshake.
Message on emails.outbound was redelivered 6 times and moved to the dead-letter queue. Consumer order-api raised KeyError in connectDb.,order-api could not process a emails.outbound message — KeyError in connectDb across 6 attempts sent it to the dead-letter queue.
[ALERT] inventory-sync on node-09: lookup of feed-aggregator returned SERVFAIL,"The feed-aggregator hostname would not resolve (SERVFAIL), blocking inventory-sync on node-09."
[CRIT] consumer lag on emails.outbound: feed-aggregator is 24 messages behind; oldest message failed with KeyError,"After 24 failed deliveries to feed-aggregator (KeyError), the emails.outbound message landed in the dead-letter queue."
"[CRIT] throttling active on /api/v1/sessions: auth-gateway rejecting excess traffic with 429 (limit 120/min, retry after 15s)","auth-gateway is throttling /api/v1/sessions: the 120-per-minute limit was exceeded, so callers get 429 with a 15s retry-after."
[CRIT] report-builder on node-08: lookup of ledger-service returned SERVFAIL,"The ledger-service hostname would not resolve (SERVFAIL), blocking report-builder on node-08."
[ALERT] webhook-relay: 401 on /api/v1/sessions — expired credentials (542m past validity),webhook-relay returned 401 for /api/v1/sessions because the caller's token expired 542 minutes earlier.
"[ERROR] container runtime killed notify-hub on node-08: memory limit 1024Mi reached inside buildIndex, exit code 137",The notify-hub container on node-08 was killed with exit code 137 after buildIndex exceeded its 1024Mi memory limit.
ERROR service=geo-resolver upstream=backup-agent endpoint=/api/v1/search code=500 elapsed_ms=11478 breaker=open,"The backup-agent upstream is failing /api/v1/search with 500, so geo-resolver stopped sending traffic (breaker open)."
[ERROR] backup-agent: 4 consecutive 504 responses from search-indexer on /api/v1/uploads; breaker opened,"The search-indexer upstream is failing /api/v1/uploads with 504, so backup-agent stopped sending traffic (breaker open)."
webhook-relay could not connect to the database on port 9042. Error 61 in flushBuffer: connection refused after 3576ms.,"The database on port 9042 refused webhook-relay's connection attempt in flushBuffer, failing with code 61."
[ALERT] order-api: permission denied for reporting_ro on customers during runMigration (error 42501),"Database permissions blocked order-api — role reporting_ro cannot use table customers, so runMigration failed with error 42501."
[ALERT] lock wait on events: webhook-relay transaction in flushBuffer aborted after 30000ms,The events query issued by webhook-relay timed out at 30000ms inside flushBuffer.
[ALERT] media-encoder: 401 on /api/v1/uploads — expired credentials (570m past validity),media-encoder returned 401 for /api/v1/uploads because the caller's token expired 570 minutes earlier.
ledger-service exited during startup: required environment variable API_BASE_URL is not set. resolveHost aborted with status 1.,ledger-service failed to start because the API_BASE_URL environment variable is missing; resolveHost exited with status 1.
ERROR service=report-builder host=node-05 upstream=ledger-service dns=SERVFAIL,"DNS resolution of ledger-service failed with SERVFAIL, leaving report-builder on node-05 unable to connect."
"[ERROR] database unreachable from geo-resolver: startContainer got error 2013 (connection refused, port 5432)","The database on port 5432 refused geo-resolver's connection attempt in startContainer, failing with code 2013."
[CRIT] auth-gateway: 401 on /api/v1/sessions — expired credentials (212m past validity),auth-gateway returned 401 for /api/v1/sessions because the caller's token expired 212 minutes earlier.
[ERROR] lock wait on invoices: backup-agent transaction in syncReplica aborted after 30000ms,A statement from backup-agent against invoices ran past the 30000ms timeout and was cancelled in syncReplica.
WARN service=order-api table=customers elapsed_ms=30000 fn=buildIndex msg=statement timeout,The customers query issued by order-api timed out at 30000ms inside buildIndex.
[ERROR] report-builder on node-12: lookup of cart-service returned SERVFAIL,report-builder on node-12 cannot resolve its upstream cart-service — DNS returned SERVFAIL.
Failed to pull image for auth-gateway: registry returned 502 while fetching tag v1.15.5. Retrying with backoff.,Registry error 502 blocked auth-gateway from pulling image tag v1.15.5.
ERROR service=email-dispatcher fn=fetchUpstream db_port=6379 code=2002 msg=connection refused elapsed_ms=2471,email-dispatcher failed to reach the database: fetchUpstream received a connection-refused error (code 2002) on port 6379 after 2471ms.
[ALERT] certificate for notify-hub is no longer valid (expired 9d); handshake rejected in openChannel,Connections to notify-hub are failing because its TLS certificate expired 9 days ago; openChannel rejects the handshake.
ERROR service=report-builder fn=connectDb tls=handshake_failed reason=certificate_expired expired_days=21,"The TLS certificate presented by report-builder lapsed 21 days ago, so the handshake in connectDb was aborted."
WARN service=thumbnail-worker endpoint=/api/v1/sessions limit_per_min=300 code=429 retry_after_s=5,"thumbnail-worker is throttling /api/v1/sessions: the 300-per-minute limit was exceeded, so callers get 429 with a 5s retry-after."
[CRIT] auth-gateway on node-04: lookup of payment-worker returned SERVFAIL,auth-gateway on node-04 cannot resolve its upstream payment-worker — DNS returned SERVFAIL.
[CRIT] certificate for auth-gateway is no longer valid (expired 59d); handshake rejected in openChannel,Connections to auth-gateway are failing because its TLS certificate expired 59 days ago; openChannel rejects the handshake.
